model,year,transmission,mileage,fuelType,mpg,engineSize,price
 Fiesta,2018,Manual,8923,Petrol,29.45,1,14195
 Focus,2019,Manual,7471,Petrol,24.8,1,17495
 Focus,2019,Manual,6370,Petrol,29.45,1,17495
 Fiesta,2019,Manual,11363,Petrol,28.25,1,14495
 Focus,2019,Manual,12987,Petrol,29.45,1,14925
 Fabia,2016,Semi-Auto,13890,Petrol,30.05,1.2,10622
 Focus,2019,Automatic,1858,Petrol,25.2,1,17125
 EcoSport,2019,Semi-Auto,6797,Petrol,22.8,1,15625
 Fiesta,2017,Manual,17045,Petrol,32.85,1,10625
 Kuga,2019,Semi-Auto,4601,Diesel,19.35,2,23000
 Polo,2017,Manual,11435,Petrol,30.05,1.2,10627
 Fiesta,2018,Manual,21512,Petrol,32.85,1,9150
 Kuga,2018,Semi-Auto,22327,Diesel,27.15,2,20000
 Kuga,2019,Automatic,2492,Petrol,14.7,1.5,21600
 Focus,2018,Manual,6317,Petrol,20.75,2,18995
 C-MAX,2017,Manual,24498,Diesel,34.45,1.5,10630
 Polo,2017,Manual,12324,Petrol,30.05,1,10632
 Ka+,2018,Manual,17537,Petrol,23.95,1.2,9295
 Kuga,2018,Manual,24814,Diesel,30.05,2,17295
 Kuga,2018,Manual,20595,Diesel,27.15,2,15495
1 Series,2016,Manual,40245,Diesel,41.55,1.5,10637
 Polo,2016,Manual,22203,Petrol,30.05,1.2,10640
 Focus,2018,Manual,7788,Petrol,30.7,1,11695
1 Series,2016,Manual,36669,Diesel,41.55,1.5,10648
 Focus,2018,Manual,21162,Petrol,29.45,1,15495
 Focus,2018,Manual,23111,Petrol,29.45,1,13495
 Ka+,2018,Manual,26004,Petrol,23.95,1.2,8995
 Focus,2018,Manual,8734,Petrol,30.7,1,12195
 Polo,2017,Manual,25412,Petrol,30.05,1.2,10649
 Fiesta,2018,Manual,2359,Petrol,32.85,1,10995
 Galaxy,2014,Manual,33026,Diesel,26.15,1.6,10650
 Galaxy,2018,Manual,32944,Diesel,28.25,2,20495
 Focus,2018,Manual,17468,Petrol,30.05,1,11495
 Golf,2015,Manual,19184,Petrol,26.65,1.4,10650
 Fiesta,2018,Manual,15146,Petrol,32.85,1,11495
 Focus,2018,Manual,26500,Petrol,30.05,1,11795
 Ka+,2018,Manual,13561,Petrol,23.95,1.2,8495
3 Series,2016,Manual,88378,Diesel,34.45,2,10650
 Ka+,2018,Manual,11900,Petrol,23.95,1.2,8995
 Ka+,2018,Manual,9043,Petrol,23.95,1.2,9495
 Fiesta,2018,Manual,9281,Petrol,27.7,1.1,9495
 Focus,2019,Manual,4710,Petrol,24.8,1,18995
 Focus,2019,Manual,13312,Diesel,25.2,2,25995
 Mondeo,2016,Manual,31542,Diesel,34.45,2,10650
 Fiesta,2019,Manual,4409,Petrol,30.05,1,17995
 Focus,2019,Manual,14569,Petrol,30.05,1,17995
 Fiesta,2019,Manual,3239,Petrol,30.05,1,11995
 Fiesta,2019,Manual,9869,Petrol,30.05,1,13495
 C-MAX,2016,Manual,13624,Diesel,34.45,1.5,10650
 Kuga,2019,Manual,6308,Diesel,19.1,2,18695
 Fiesta,2016,Manual,14440,Petrol,32.85,1,10650
 Kuga,2019,Manual,2790,Petrol,17.65,1.5,19995
 Fiesta,2018,Manual,8979,Petrol,32.85,1,10995
 Fiesta,2018,Manual,21092,Petrol,29.45,1,10495
 Focus,2018,Manual,21950,Petrol,28.85,1,12995
 Octavia,2016,Manual,19461,Diesel,37.15,1.6,10650
 Fiesta,2019,Manual,5502,Petrol,29.45,1,12495
 Octavia,2016,Manual,19461,Diesel,37.15,1.6,10650
 Fiesta,2017,Manual,31800,Petrol,32.85,1,10650
 Focus,2018,Manual,21442,Petrol,28.85,1,12699
 Focus,2017,Manual,16946,Petrol,30.05,1,10650
 Fiesta,2019,Manual,2278,Petrol,30.05,1,16299
 Fiesta,2018,Manual,13950,Petrol,32.85,1,11899
 EcoSport,2017,Manual,24178,Petrol,26.15,1,10650
 Focus,2018,Manual,14766,Petrol,30.05,1,12199
 EcoSport,2018,Manual,11494,Petrol,27.15,1,14799
 Focus,2018,Manual,11997,Diesel,40.35,1.5,14499
 Fiesta,2017,Manual,9813,Petrol,32.85,1,10650
 Focus,2017,Manual,23900,Petrol,30.05,1,10650
 Fiesta,2017,Manual,18556,Petrol,32.85,1,10650
 Focus,2017,Manual,13980,Petrol,30.7,1,10650
 C-MAX,2017,Manual,20000,Diesel,34.45,1.5,10650
 Polo,2017,Manual,18000,Petrol,30.05,1.2,10650
 EcoSport,2018,Manual,10992,Petrol,26.15,1,10995
 Polo,2017,Manual,27500,Petrol,30.05,1.2,10650
 Fiesta,2018,Manual,10872,Petrol,32.85,1,11795
 Tourneo Custom,2019,Automatic,6020,Diesel,15.85,2,23995
 Focus,2019,Manual,12583,Petrol,30.05,1,15495
 EcoSport,2018,Manual,12642,Petrol,27.15,1,13799
 Polo,2017,Manual,32566,Diesel,41.55,1.4,10650
 Polo,2017,Semi-Auto,46000,Petrol,30.05,1.2,10650
 Kuga,2019,Manual,12963,Diesel,19.6,2,19795
 Polo,2017,Manual,10518,Petrol,30.05,1.2,10650
 Kuga,2018,Manual,11447,Diesel,27.15,2,17399
 Fiesta,2018,Manual,8804,Petrol,32.85,1,11399
 Verso,2017,Manual,45000,Petrol,20.75,1.6,10650
 Polo,2017,Manual,10117,Petrol,30.05,1.2,10652
IX20,2017,Automatic,14847,Petrol,21.75,1.6,10654
 Polo,2017,Manual,19036,Petrol,30.05,1.2,10656
 Fiesta,2018,Manual,9224,Petrol,28.85,1,11999
 C-MAX,2016,Automatic,4930,Diesel,32.1,1.5,10657
 Focus,2016,Manual,18560,Diesel,37.15,1.5,10660
 Focus,2018,Manual,17995,Petrol,30.7,1,11795
 Focus,2018,Manual,13500,Petrol,30.05,1,12295
 Fiesta,2018,Manual,36000,Petrol,32.1,1.1,8995
 Focus,2017,Manual,25453,Petrol,30.7,1,10660
 Fiesta,2018,Manual,11542,Petrol,32.85,1,12295
 Fiesta,2018,Manual,22690,Petrol,32.1,1.1,9795
 Fiesta,2018,Manual,13097,Petrol,28.25,1,12495
 Fiesta,2018,Manual,10856,Petrol,29.45,1,13695
 Fiesta,2018,Manual,12487,Petrol,32.85,1,11695
 Polo,2017,Manual,18494,Petrol,30.05,1.2,10666
1 Series,2014,Automatic,53436,Diesel,32.1,2,10670
 Focus,2016,Automatic,27977,Petrol,25.7,1,10670
 Golf,2016,Manual,29140,Diesel,37.15,1.6,10670
 Fiesta,2018,Semi-Auto,14773,Petrol,27.15,1,12499
 Fabia,2016,Semi-Auto,18790,Petrol,30.05,1.2,10670
 Focus,2017,Manual,21833,Diesel,37.15,1.5,10671
 Fiesta,2018,Manual,16175,Petrol,32.85,1,11699
 Focus,2018,Manual,9446,Petrol,29.45,1,13870
 Focus,2018,Manual,29546,Petrol,28.85,1,11640
 Fiesta,2018,Automatic,63803,Petrol,24.35,1,9445
 Kuga,2018,Automatic,24694,Diesel,29.45,1.5,14199
 Focus,2017,Manual,36013,Diesel,37.15,1.5,10671
 Kuga,2019,Semi-Auto,11194,Diesel,19.35,2,23199
 Polo,2017,Manual,11520,Petrol,30.05,1,10672
 Yeti Outdoor,2014,Semi-Auto,42400,Diesel,22.4,2,10673
 Fiesta,2018,Semi-Auto,3531,Petrol,24.35,1,13491
5 Series,2014,Automatic,64221,Diesel,31.4,2,10675
 EcoSport,2019,Manual,4357,Petrol,26.65,1,15995
 Kuga,2018,Semi-Auto,13940,Diesel,29.45,1.5,19333
 Fiesta,2018,Manual,13456,Petrol,31.4,1,13991
 Focus,2018,Manual,22058,Petrol,28.85,1,13289
 Focus,2018,Manual,20827,Petrol,30.05,1,11689
 Focus,2018,Manual,15919,Petrol,28.85,1,13491
 Auris,2014,Automatic,28130,Hybrid,38.2,1.8,10675
 Fiesta,2018,Manual,17373,Petrol,28.25,1,11180
 Golf,2016,Manual,32861,Diesel,37.15,1.6,10679
 Golf,2015,Manual,38535,Petrol,26.65,1.4,10680
 C-MAX,2016,Manual,35198,Diesel,34.45,1.5,10680
 Focus,2017,Manual,13219,Petrol,30.7,1,10680
 Focus,2017,Manual,22040,Diesel,37.15,1.5,10680
 Fiesta,2017,Manual,19741,Petrol,32.85,1,10680
 Polo,2017,Manual,31316,Petrol,30.05,1.2,10680
 Fabia,2017,Semi-Auto,13985,Petrol,30.05,1.2,10685
3 Series,2013,Automatic,43771,Diesel,31.4,2,10688
 Yaris,2015,Automatic,36021,Hybrid,39,1.5,10688
 Golf,2016,Semi-Auto,36000,Diesel,29.45,1.6,10688
 Focus,2017,Manual,26058,Diesel,37.15,1.5,10689
 Fiesta,2018,Manual,14806,Petrol,31.4,1,12995
 Fiesta,2018,Manual,19901,Petrol,32.85,1,10795
 Kuga,2018,Manual,28694,Diesel,19.6,2,18491
 Focus,2017,Manual,26058,Diesel,37.15,1.5,10689
 Focus,2017,Manual,15337,Diesel,37.15,1.5,10689
 EcoSport,2018,Manual,6865,Diesel,29.45,1.5,15491
 Fiesta,2018,Manual,8968,Petrol,27.7,1.1,10999
 C-MAX,2017,Automatic,9797,Diesel,32.1,1.5,10689
 Fiesta,2019,Manual,8653,Petrol,29.45,1,13889
1 Series,2015,Manual,61676,Diesel,35.3,2,10690
 Polo,2015,Semi-Auto,23042,Petrol,30.05,1.2,10690
 Yaris,2015,Automatic,11000,Petrol,27.5,1.3,10690
 Yeti Outdoor,2015,Semi-Auto,63254,Diesel,25.7,2,10690
I40,2015,Manual,20660,Diesel,32.85,1.7,10690
1 Series,2016,Manual,41718,Petrol,26.65,1.5,10690
 Focus,2018,Manual,20611,Petrol,30.7,1,11795
 Fiesta,2018,Manual,17729,Petrol,32.85,1,11995
 Fiesta,2016,Automatic,13552,Petrol,28.85,1,10690
 Fiesta,2016,Automatic,7957,Petrol,28.85,1,10690
 Fiesta,2018,Manual,11542,Petrol,28.25,1,11885
 Focus,2016,Automatic,8000,Petrol,25.7,1,10690
 Yaris,2016,Automatic,41965,Hybrid,43,1.5,10690
 Focus,2018,Manual,6833,Petrol,20.75,2,20991
 Yaris,2016,Automatic,23565,Petrol,29,1.3,10690
 Fabia,2016,Semi-Auto,15339,Petrol,30.05,1.2,10690
 Octavia,2016,Automatic,6993,Petrol,31.4,1,10690
 C-MAX,2017,Manual,15650,Petrol,27.7,1,10690
 Fiesta,2018,Manual,7316,Petrol,32.85,1,10150
 EcoSport,2019,Manual,6500,Petrol,25.7,1,16491
 Focus,2017,Manual,6321,Petrol,30.7,1,10690
 Kuga,2018,Manual,17036,Diesel,30.05,2,16222
 Fiesta,2017,Manual,16137,Petrol,31.4,1,10690
 EcoSport,2018,Manual,11487,Petrol,27.15,1,14250
 Focus,2019,Automatic,10898,Petrol,21.4,1,17389
 EcoSport,2019,Manual,6378,Petrol,25.7,1,16666
 Ka+,2019,Manual,7694,Petrol,23.95,1.2,9991
 Focus,2017,Manual,17113,Petrol,30.7,1,10690
 Fiesta,2018,Manual,10266,Petrol,27.7,1.1,10795
 Focus,2018,Manual,22058,Petrol,28.85,1,13289
 Fiesta,2018,Manual,14806,Petrol,31.4,1,12995
 Focus,2018,Manual,15919,Petrol,28.85,1,13491
 EcoSport,2019,Manual,4357,Petrol,26.65,1,15995
 Focus,2018,Manual,14277,Diesel,33.65,2,18689
 Focus,2018,Manual,16565,Petrol,30.05,1,12791
 Focus,2017,Manual,27307,Petrol,29.45,1,10690
 EcoSport,2019,Manual,6378,Petrol,25.7,1,16666
 Ka+,2019,Manual,7694,Petrol,23.95,1.2,9991
 Focus,2017,Manual,37351,Diesel,37.15,1.5,10690
 Polo,2017,Manual,17329,Diesel,30.05,1.4,10690
 Focus,2018,Semi-Auto,14346,Petrol,25.7,1,13150
 Kuga,2019,Manual,9000,Diesel,19.6,2,21222
 Ka+,2018,Manual,25000,Petrol,23.95,1.2,8888
 Fiesta,2019,Manual,6000,Petrol,29.45,1,14888
 EcoSport,2019,Manual,6500,Petrol,25.7,1,16491
 Fiesta,2019,Manual,11906,Petrol,29.45,1,13333
 Polo,2017,Manual,22803,Petrol,30.05,1.2,10690
 EcoSport,2018,Manual,3469,Petrol,25.7,1,16333
 Kuga,2018,Semi-Auto,13940,Diesel,29.45,1.5,19333
 Polo,2017,Manual,18065,Petrol,30.05,1.2,10690
 Kuga,2018,Manual,17011,Diesel,27.15,2,19000
 Polo,2017,Manual,24381,Petrol,30.05,1.2,10690
 Polo,2017,Manual,25012,Petrol,30.05,1.2,10690
 Focus,2018,Manual,14277,Diesel,33.65,2,18689
 Focus,2018,Manual,16565,Petrol,30.05,1,12791
 Polo,2017,Manual,25013,Petrol,30.05,1.2,10690
 Focus,2019,Manual,6682,Petrol,24.35,1,17991
 Focus,2018,Manual,12898,Diesel,37.15,1.5,16000
 Focus,2018,Automatic,8000,Diesel,32.1,2,19444
 S-MAX,2019,Manual,8158,Diesel,27.15,2,25991
 Ka+,2019,Manual,4777,Petrol,21.75,1.2,10795
 Focus,2019,Automatic,7000,Diesel,32.1,2,20795
 Ka+,2019,Manual,6500,Petrol,23.95,1.2,9795
 Fiesta,2018,Manual,14128,Petrol,27.7,1.1,10491
 Fiesta,2018,Manual,13597,Petrol,27.7,1.1,10795
 Fiesta,2018,Manual,10266,Petrol,27.7,1.1,10795
 Polo,2017,Manual,35861,Petrol,30.05,1.2,10690
 Kuga,2018,Manual,26956,Petrol,22.8,1.5,16789
 Fiesta,2018,Manual,9820,Petrol,29.45,1,10679
 Kuga,2018,Manual,17036,Diesel,30.05,2,16222
 Polo,2017,Manual,18857,Petrol,30.05,1.2,10690
 Yaris,2017,Manual,5196,Petrol,29.45,1.5,10690
2 Series,2015,Manual,41347,Diesel,37.15,1.5,10691
 Golf,2015,Manual,37315,Petrol,26.65,1.4,10691
 Fiesta,2018,Semi-Auto,3531,Petrol,24.35,1,13491
 Fiesta,2018,Manual,13456,Petrol,31.4,1,13991
 Ka+,2018,Manual,25000,Petrol,23.95,1.2,8888
A1,2016,Manual,21809,Petrol,33.65,1,10691
 C-MAX,2017,Manual,10367,Diesel,34.45,1.5,10691
 Focus,2017,Manual,18899,Petrol,30.05,1,10691
 Focus,2017,Manual,35978,Diesel,37.15,1.5,10691
 Polo,2017,Manual,28233,Petrol,30.05,1.2,10691
 Fabia,2017,Semi-Auto,33543,Petrol,30.05,1.2,10691
 Polo,2017,Manual,18686,Petrol,30.05,1.2,10692
1 Series,2014,Manual,53310,Diesel,31.4,2,10695
 Focus,2018,Manual,16117,Diesel,37.15,1.5,13441
1 Series,2014,Automatic,64690,Diesel,32.1,2,10695
 Yaris,2014,Automatic,28783,Hybrid,40.35,1.5,10695
1 Series,2015,Automatic,52770,Petrol,24.35,1.6,10695
3 Series,2015,Automatic,105090,Diesel,31.4,2,10695
 Golf,2015,Manual,46024,Petrol,26.65,1.4,10695
 Golf,2015,Manual,98250,Diesel,33.65,2,10695
 Golf,2015,Manual,102220,Diesel,33.65,2,10695
A4,2016,Manual,97150,Diesel,36.2,2,10695
A1,2016,Manual,52820,Diesel,38.15,1.6,10695
3 Series,2016,Automatic,100680,Diesel,30.05,2,10695
 C-MAX,2018,Automatic,7740,Diesel,28.25,1.5,13090
4 Series,2016,Manual,85520,Diesel,33.65,2,10695
 Focus,2016,Manual,20408,Petrol,30.05,1,10695
 Mondeo,2016,Manual,44298,Diesel,37.15,1.5,10695
 EcoSport,2019,Semi-Auto,1576,Petrol,22.8,1,17590
 Focus,2018,Manual,15336,Petrol,20.75,2,17997
 Focus,2016,Manual,19518,Diesel,37.15,1.5,10695
 Golf,2016,Manual,105150,Diesel,33.65,2,10695
 Polo,2016,Semi-Auto,17100,Petrol,30.05,1.2,10695
 Golf SV,2016,Manual,44556,Petrol,27.7,1.4,10695
 Octavia,2016,Manual,84360,Diesel,31.4,2,10695
 Focus,2019,Manual,4577,Diesel,30.7,1.5,18140
 Kuga,2019,Semi-Auto,18333,Diesel,21.1,2,21300
 Kuga,2019,Manual,9455,Diesel,23.95,2,21970
 Focus,2019,Manual,7588,Petrol,30.05,1,14491
 Focus,2019,Manual,11301,Petrol,30.05,1,15260
 Focus,2019,Manual,10613,Petrol,30.05,1,15440
 Focus,2019,Manual,3803,Petrol,29.45,1,14730
 Focus,2019,Manual,11167,Petrol,29.45,1,18910
 Focus,2019,Manual,3915,Petrol,30.05,1,13491
 Focus,2019,Manual,5447,Petrol,30.05,1,15420
 Focus,2019,Manual,4265,Petrol,30.05,1,15860
I40,2016,Semi-Auto,26876,Diesel,28.25,1.7,10695
 Tucson,2016,Manual,66216,Diesel,30.85,1.7,10695
 Kuga,2019,Manual,151,Diesel,19.1,2,17991
I40,2016,Semi-Auto,27000,Diesel,28.25,1.7,10695
I30,2016,Automatic,11511,Petrol,20.75,1.6,10695
 Fiesta,2017,Automatic,12974,Petrol,28.85,1,10695
 Fiesta,2018,Manual,14126,Petrol,32.85,1,10700
 Ka+,2018,Manual,21819,Petrol,28.85,1.2,7680
 EcoSport,2018,Manual,11912,Petrol,27.15,1,14320
 EcoSport,2017,Manual,13156,Diesel,32.1,1.5,10695
 Fiesta,2019,Manual,6555,Petrol,29.45,1,12430
 Focus,2019,Manual,9369,Petrol,30.05,1,15320
 Focus,2017,Manual,18186,Petrol,30.05,1,10695
 EcoSport,2017,Manual,9034,Diesel,32.1,1.5,10695
 Fiesta,2017,Manual,24153,Petrol,32.85,1,10695
 C-MAX,2017,Manual,2374,Petrol,27.7,1,10695
 Focus,2019,Manual,1617,Petrol,17.25,2.3,29350
 Focus,2018,Manual,13008,Petrol,20.75,2,20370
 Polo,2017,Manual,23656,Petrol,30.05,1.2,10695
 Octavia,2017,Manual,33748,Diesel,32.85,2,10695
 Ka+,2019,Manual,2000,Petrol,23.95,1.2,11000
 Focus,2016,Manual,13000,Petrol,30.05,1,10696
 Ka+,2019,Manual,2463,Petrol,23.95,1.2,10550
 Ka+,2018,Manual,26792,Petrol,28.85,1.2,7295
 Focus,2019,Manual,3314,Petrol,30.05,1,17480
 Fiesta,2019,Manual,2818,Petrol,24.35,1.1,13140
 Focus,2019,Manual,6235,Diesel,35.3,2,20380
 Golf,2016,Automatic,34801,Diesel,29.45,1.6,10697
 EcoSport,2019,Manual,2978,Petrol,26.65,1,17990
 Focus,2019,Automatic,9389,Petrol,25.2,1,17491
 Fiesta,2017,Manual,13130,Petrol,32.85,1,10697
 C-MAX,2017,Manual,22870,Diesel,34.45,1.5,10697
 Focus,2019,Automatic,16424,Diesel,33.65,1.5,16230
 Fiesta,2019,Manual,5166,Petrol,29.45,1,13120
 Ka+,2019,Manual,2000,Petrol,23.95,1.2,10550
 Focus,2017,Manual,22946,Diesel,37.15,1.5,10697
 Fiesta,2020,Manual,251,Petrol,25.7,1,15491
 Focus,2020,Manual,557,Petrol,30.05,1,15600
 Kuga,2014,Automatic,57797,Petrol,18.35,1.6,10698
 Golf,2014,Manual,43075,Petrol,29.45,1.4,10698
 Fiesta,2018,Manual,30704,Petrol,32.85,1,10699
 Fiesta,2018,Manual,28654,Petrol,32.85,1,10699
 Scirocco,2014,Manual,30000,Petrol,26.15,1.4,10698
 Fiesta,2018,Manual,32895,Petrol,32.85,1,10699
A1,2015,Manual,37458,Petrol,27.7,1.4,10698
 Golf,2015,Manual,38357,Petrol,26.65,1.4,10698
 Golf,2015,Manual,35315,Petrol,26.65,1.4,10698
 Fiesta,2018,Manual,17125,Petrol,32.85,1,10495
 EcoSport,2019,Manual,1518,Petrol,26.65,1,15700
 Fiesta,2018,Manual,3871,Petrol,29.45,1,13500
 Auris,2015,Automatic,58680,Hybrid,37.15,1.8,10698
 Fiesta,2018,Manual,11696,Petrol,31.4,1,11931
 Fiesta,2019,Manual,10148,Petrol,29.45,1,12790
 Mustang,2018,Manual,17876,Petrol,10.45,5,28615
 Kuga,2016,Manual,56888,Diesel,30.05,2,10698
 Fiesta,2016,Manual,22141,Diesel,39.25,1.5,10698
 Mondeo,2016,Manual,64351,Diesel,31.4,2,10698
 Golf,2016,Manual,51841,Petrol,26.65,1.4,10698
 Yaris,2016,Manual,10698,Petrol,27.5,1.3,10698
 Octavia,2016,Manual,26891,Petrol,27.7,1.4,10698
 Ka+,2018,Manual,9844,Petrol,21.75,1.2,9600
 Tucson,2016,Manual,59776,Diesel,30.85,1.7,10698
 Fiesta,2018,Manual,17150,Petrol,32.85,1,10300
 Fiesta,2020,Manual,6000,Petrol,27.7,1,17300
 Fiesta,2018,Manual,21452,Petrol,32.85,1,10300
 Fiesta,2018,Semi-Auto,2456,Petrol,24.35,1,13800
 EcoSport,2019,Automatic,3696,Petrol,22.8,1,16800
 Tucson,2016,Manual,36567,Diesel,30.85,1.7,10698
 Tucson,2016,Manual,67372,Diesel,30.85,1.7,10698
 Kuga,2019,Automatic,7858,Diesel,19.35,2,21200
 Fiesta,2017,Semi-Auto,11235,Petrol,28.85,1,10698
 Fiesta,2017,Manual,16505,Petrol,32.85,1,10698
 Fiesta,2019,Manual,4344,Petrol,24.35,1.1,13140
 Fiesta,2017,Manual,21041,Diesel,39.25,1.5,10698
 Fiesta,2018,Automatic,9822,Petrol,27.15,1,13790
 Grand C-MAX,2017,Manual,29886,Diesel,32.1,1.5,10698
 Fiesta,2019,Manual,10071,Petrol,30.05,1,14550
 Fiesta,2019,Manual,11317,Petrol,30.05,1,14080
 Fiesta,2019,Manual,10586,Petrol,27.7,1,14930
 Focus,2018,Manual,21235,Diesel,40.35,1.5,13160
 Fiesta,2017,Manual,6991,Petrol,32.85,1,10698
 Focus,2017,Manual,11469,Petrol,30.7,1,10698
 Fiesta,2017,Manual,23494,Petrol,31.4,1,10698
 C-MAX,2017,Manual,17020,Petrol,27.7,1,10698
 EcoSport,2017,Semi-Auto,15033,Petrol,22.4,1.5,10698
 Focus,2017,Manual,32701,Diesel,37.15,1.5,10698
 Kuga,2018,Automatic,2833,Petrol,19.1,1.5,20295
 Fiesta,2017,Manual,22660,Petrol,32.85,1,10698
 Focus,2017,Manual,41068,Diesel,37.15,1.5,10698
 EcoSport,2018,Manual,11250,Petrol,27.15,1,13550
 Kuga,2019,Semi-Auto,10598,Diesel,21.1,2,22490
 EcoSport,2019,Semi-Auto,10,Petrol,22.05,1,17990
 Fiesta,2018,Manual,11000,Petrol,30.05,1,11290
 Fiesta,2019,Manual,10100,Petrol,27.7,1,15490
 Fiesta,2018,Manual,56100,Petrol,31.4,1,10000
 Fiesta,2018,Manual,21000,Petrol,32.85,1,10990
 Fiesta,2019,Manual,5500,Petrol,29.45,1,12975
 Fiesta,2018,Manual,5755,Petrol,32.1,1.1,9290
 C-MAX,2017,Manual,31743,Diesel,34.45,1.5,10698
 Focus,2019,Manual,12981,Petrol,24.8,1,16200
 Fiesta,2017,Manual,13736,Petrol,31.4,1,10698
 Fiesta,2017,Manual,18747,Petrol,32.85,1,10698
 B-MAX,2017,Semi-Auto,6425,Petrol,22.05,1.6,10698
 Kuga,2018,Manual,24869,Diesel,32.1,1.5,16198
 B-MAX,2017,Manual,5436,Petrol,27.7,1,10698
 Golf,2017,Manual,36002,Diesel,30.7,1.6,10698
 Auris,2017,Manual,19975,Diesel,33.65,1.6,10698
 Octavia,2017,Semi-Auto,25669,Diesel,36.2,1.6,10698
I30,2017,Manual,25344,Diesel,37.15,1.6,10698
 Tucson,2017,Manual,50408,Diesel,30.85,1.7,10698
 Kuga,2018,Manual,6360,Petrol,19.6,1.5,16817
3 Series,2013,Automatic,40022,Diesel,31.4,2,10699
 Kuga,2018,Manual,15822,Diesel,27.15,2,20000
 Fiesta,2018,Manual,17038,Petrol,32.85,1,10450
 Fiesta,2018,Manual,16313,Petrol,29.45,1,12590
 Focus,2019,Automatic,4896,Diesel,27.15,1.5,19236
 Focus,2019,Manual,7546,Petrol,23.95,1,16990
 S-MAX,2018,Semi-Auto,18153,Diesel,26.15,2,21750
 Focus,2019,Automatic,729,Diesel,26.65,1.5,19490
 Focus,2018,Manual,19500,Petrol,29.45,1,16990
 Kuga,2019,Manual,11000,Petrol,17.65,1.5,17990
 EcoSport,2018,Semi-Auto,13952,Petrol,22.8,1,14390
 Ka+,2019,Manual,5,Petrol,21.75,1.2,12890
 Galaxy,2019,Semi-Auto,4960,Diesel,26.65,2,22990
 Kuga,2014,Manual,45497,Diesel,23.95,2,10699
 Kuga,2014,Manual,45497,Diesel,23.95,2,10699
 Edge,2018,Semi-Auto,9600,Diesel,23.95,2,25990
A3,2015,Automatic,74413,Diesel,28.8,2,10699
 Kuga,2018,Manual,19500,Diesel,23.95,2,17950
 Fiesta,2018,Manual,13000,Petrol,30.05,1,11490
5 Series,2015,Automatic,93056,Diesel,34.45,2,10699
 Focus,2019,Manual,7069,Petrol,17.25,2.3,27580
 Focus,2015,Manual,21462,Petrol,25.7,1.5,10699
 Fiesta,2015,Manual,29600,Petrol,23.95,1.6,10699
 Focus,2015,Automatic,21147,Petrol,23.15,1.5,10699
 Focus,2018,Automatic,13409,Petrol,25.7,1,13510
A1,2016,Manual,16569,Petrol,33.65,1,10699
1 Series,2016,Manual,47210,Diesel,41.55,1.5,10699
 Fiesta,2018,Manual,31639,Petrol,32.85,1,9891
 Fiesta,2018,Manual,29196,Petrol,28.25,1,10290
1 Series,2016,Manual,35845,Diesel,41.55,1.5,10699
 Fiesta,2019,Manual,11078,Petrol,27.7,1,13210
 EcoSport,2018,Manual,1090,Petrol,27.15,1,14560
1 Series,2016,Manual,34933,Diesel,41.55,1.5,10699
1 Series,2016,Manual,35417,Diesel,39.25,1.5,10699
 Focus,2016,Manual,9027,Petrol,30.05,1,10699
 Kuga,2019,Manual,7962,Diesel,18.85,2,23760
 Grand C-MAX,2018,Manual,10652,Petrol,23.55,1,13647
 Focus,2016,Semi-Auto,12948,Petrol,22.4,1.6,10699
 EcoSport,2019,Semi-Auto,1156,Petrol,22.8,1,17990
 Grand C-MAX,2016,Manual,39296,Diesel,32.1,1.5,10699
 Focus,2016,Automatic,26796,Petrol,25.7,1,10699
 Golf,2016,Manual,20000,Diesel,36.2,1.6,10699
 Golf,2016,Manual,41309,Diesel,37.15,1.6,10699
 Fiesta,2017,Automatic,16683,Petrol,28.85,1,10699
 Fiesta,2017,Semi-Auto,9896,Petrol,28.85,1,10699
 EcoSport,2017,Manual,7573,Petrol,26.15,1,10699
 Fiesta,2017,Manual,41197,Petrol,23.95,1.6,10699
 C-MAX,2017,Manual,27299,Petrol,27.7,1,10699
 Focus,2018,Semi-Auto,6465,Diesel,30.7,2,19979
 Fiesta,2017,Manual,21913,Diesel,39.25,1.5,10699
 Kuga,2019,Manual,4953,Petrol,17.65,1.5,20479
 Fiesta,2018,Manual,12553,Petrol,32.85,1,11479
 Kuga,2019,Manual,10766,Diesel,19.1,2,18479
 Focus,2017,Manual,22625,Diesel,37.15,1.5,10699
 B-MAX,2017,Semi-Auto,11051,Petrol,22.05,1.6,10699
A1,2014,Manual,35700,Petrol,26.15,1.4,10700
 Kuga,2014,Manual,43914,Diesel,23.95,2,10700
 Beetle,2014,Manual,40830,Petrol,19.35,2,10700
 Fiesta,2015,Manual,11422,Petrol,31.4,1,10700
 Mondeo,2015,Manual,29980,Diesel,39.25,1.5,10700
 Kuga,2015,Manual,54146,Diesel,25.2,2,10700
 Mondeo,2015,Manual,47610,Diesel,28.25,2,10700
 Golf,2015,Manual,17799,Petrol,23.95,1.2,10700
 Passat,2015,Manual,36242,Diesel,34.45,2,10700
 Fiesta,2018,Manual,6500,Petrol,32.1,1.1,9995
 Fiesta,2018,Manual,8968,Petrol,27.7,1.1,10999
 Tucson,2015,Manual,34177,Diesel,30.85,1.7,10700
2 Series,2016,Automatic,36500,Diesel,36.2,1.5,10700
 Focus,2018,Manual,6833,Petrol,20.75,2,20991
1 Series,2016,Manual,27382,Diesel,41.55,1.5,10700
